,tweet,O
5735,Medical,B-I-Field
5736,systems,B-I-Field
5737,biology,B-I-Field
5738,",",B-I-Field
5739,Clinical,B-I-Field
5740,research,B-I-Field
5741,",",B-I-Field
5742,Data,B-I-Field
5743,science,B-I-Field
5744,and,B-I-Field
5745,AI,B-I-Field
5746,and,B-I-Field
5747,new,B-I-Field
5748,Structural,B-I-Field
5749,Biology,B-I-Field
5750,(,O
5751,in,O
5752,a,O
5753,few,O
5754,groups,O
5755,",",O
5756,inl,O
5757,.,O
5758,ours,O
5759,),O
5760,.,O
5761,Apply,O
5762,before,O
5763,12,B-B-Deadline
5764,July,B-I-Deadline
5765,https://t.co/azTrMfIfPs,B-B-Link
5766,,
5767,Two,O
5768,fully,O
5769,funded,O
5770,PhD,O
5771,positions,O
5772,at,O
5773,the,O
5774,Department,O
5775,of,O
5776,Population,B-B-Field
5777,Health,B-I-Field
5778,Sciences,B-I-Field
5779,",",O
5780,Utrecht,B-B-Univ
5781,University,B-I-Univ
5782,",",O
5783,Netherlands,B-B-Country
5784,.,O
5785,Salary,O
5786,:,O
5787,€,O
5788,"2,395",O
5789,/,O
5790,month,O
5791,Deadline,O
5792,:,O
5793,July,B-B-Deadline
5794,"5,2021",B-I-Deadline
5795,Details,O
5796,:,O
5797,https://t.co/ACnCReW9t2,B-B-Link
5798,https://t.co/knhMOqs48Z,B-B-Link
5799,,
5800,16:00,B-B-Deadline
5801,TODAY,B-I-Deadline
5802,(,B-I-Deadline
5803,Mon,B-I-Deadline
5804,21,B-I-Deadline
5805,June,B-I-Deadline
5806,),O
5807,:,O
5808,last,O
5809,chance,O
5810,to,O
5811,submit,O
5812,application,O
5813,for,O
5814,FULLY,O
5815,FUNDED,O
5816,#PhD,O
5817,place,O
5818,on,O
5819,the,B-B-Topic
5820,application,B-I-Topic
5821,of,B-I-Topic
5822,artificial,B-I-Topic
5823,intelligence,B-I-Topic
5824,to,B-I-Topic
5825,forecast,B-I-Topic
5826,&,B-I-Topic
5827,amp,B-I-Topic
5828,;,B-I-Topic
5829,plan,B-I-Topic
5830,skills,B-I-Topic
5831,&,B-I-Topic
5832,amp,B-I-Topic
5833,;,B-I-Topic
5834,training,B-I-Topic
5835,for,B-I-Topic
5836,the,B-I-Topic
5837,labour,B-I-Topic
5838,market,B-I-Topic
5839,w,O
5840,/,O
5841,@ComputingNapier,O
5842,https://t.co/eAH0VJTM56,B-B-Link
5843,#AI,B-B-Field
5844,#ML,B-I-Field
5845,#PhD,O
5846,#NLP,B-B-Field
5847,@SocSciScotland,O
5848,Join,O
5849,us,O
5850,!,O
